SEPT2	MT-ATP8
A1BG	MT-ATP6
ACAT2	MT-ND4L
ACIN1	MT-CN
ACLY	MT-CO1
ACTR2	MT-ND4L
ACTR3	MT-ND4L
ADA	MT-ATP8
ADAR	MT-ATP6
ADAR	MT-ND4
ADAR	MT-ND5
ADCK2	MT-ATP6
ADNP	MT-ATP8
ADRBK1	MT-ND3
AFG3L2	MT-CYB
AFG3L2	MT-ND4L
AGAP2	MT-CYB
AKAP11	MT-ATP8
ALKBH7	MT-ATP8
ANKRD11	MT-ND1
ANKRD11	MT-ND3
ANKRD11	MT-ND4
ANKRD11	MT-ND5
ANKRD11	MT-ND6
ANLN	MT-ATP8
ANP32A	MT-ND6
AP2S1	MT-ATP8
AP3M1	MT-ATP8
ARHGAP11B	MT-ND6
ARHGAP30	MT-ND5
ARHGAP30	MT-ND6
ARID4B	MT-ATP6
ARID4B	MT-ND4
ASB1	MT-CN
ASNA1	MT-ND4
ASPM	MT-ATP6
ATAD5	MT-ATP6
ATP13A3	MT-ND4L
ATP2A2	MT-CYB
ATP5L	MT-ND3
ATXN2	MT-ND4L
AURKAIP1	MT-ATP8
BAG2	MT-ND3
BAG6	MT-ND4L
BANF1	MT-ND3
BAZ1A	MT-ATP8
BAZ1B	MT-ATP6
BAZ1B	MT-ND4
BCLAF1	MT-ATP6
BDP1	MT-ND4
BDP1	MT-ND5
BICD2	MT-ND5
BOD1L	MT-ATP6
BOD1L	MT-ND4
BOD1L	MT-ND5
BOLA2	MT-ATP8
C12orf32	MT-ND4L
C12orf45	MT-ATP8
C14orf133	MT-CYB
C16orf42	MT-ATP8
C16orf42	MT-CN
C19orf10	MT-ATP8
C19orf50	MT-ND4L
C19orf52	MT-ATP8
C19orf60	MT-ATP8
C19orf70	MT-ATP6
C19orf70	MT-ND4
C20orf20	MT-ATP8
C22orf28	MT-CYB
C22orf46	MT-ND5
C2orf69	MT-ATP6
C6orf108	MT-ATP8
C7orf30	MT-CN
C9orf69	MT-CN
CA5B	MT-ND4L
CBWD6	MT-ATP8
CCAR1	MT-ATP8
CCDC57	MT-ATP6
CCDC85B	MT-ATP8
CCDC88B	MT-ND5
CCDC88C	MT-ND3
CCDC90B	MT-ND3
CCL5	MT-ND4L
CCNK	MT-ND4L
CCNT1	MT-ATP8
CD81	MT-ND3
CDC42SE2	MT-ND4L
CDK2AP2	MT-ND4L
CDK8	MT-ND3
CELF1	MT-ATP6
CENPF	MT-ND4
CEP250	MT-ND3
CEP250	MT-ND5
CEP350	MT-ND4
CHAMP1	MT-ATP8
CHCHD5	MT-CYB
CHD1	MT-ATP6
CHD4	MT-ATP6
CHD4	MT-ND4
CHD4	MT-ND5
CHMP4B	MT-ND3
CKAP5	MT-ATP6
CKAP5	MT-ND4
CNBP	MT-CYB
CNBP	MT-ND4L
CNO	MT-ATP8
CNOT7	MT-ND3
CNTRL	MT-ATP6
CNTRL	MT-ND4
CNTRL	MT-ND5
COX10	MT-ND4L
CTNNBIP1	MT-ATP8
CYHR1	MT-ATP8
DCTN3	MT-ATP6
DDIT3	MT-ND3
DDTL	MT-ATP8
DDX42	MT-ATP6
DDX42	MT-ND4
DDX46	MT-ND2
DENND4A	MT-ATP8
DGCR6L	MT-ATP8
DGCR6L	MT-CN
DHX38	MT-CN
DHX8	MT-ATP6
DICER1	MT-ATP6
DOPEY1	MT-ATP6
DUSP11	MT-ND3
DUT	MT-ND4L
DYNLL2	MT-ND4L
DYNLRB1	MT-ND4L
ECI1	MT-CN
EEF1B2	MT-CYB
EEF1B2	MT-ND4L
EEF1B2	MT-ND5
EFTUD2	MT-CO2
EHBP1	MT-ATP6
EIF3A	MT-ND4
EIF3A	MT-ND5
EIF4H	MT-ND4L
EIF5B	MT-ATP6
EIF5B	MT-ND4
ENSA	MT-ND4L
ENY2	MT-ND4L
ETFA	MT-ND4L
EXOSC3	MT-ND4L
FABP7	MT-CN
FAM100B	MT-ND2
FAM108B1	MT-ND4L
FAM111A	MT-ATP8
FAM173A	MT-ATP8
FAM174A	MT-ATP8
FAM193A	MT-ND1
FAM195A	MT-ATP8
FAM207A	MT-ATP8
FBXL15	MT-ATP8
FCF1	MT-ATP8
FDFT1	MT-ND4L
FIP1L1	MT-CN
FIZ1	MT-ND2
FNBP1	MT-ND1
FNBP1	MT-ND4
FNBP4	MT-CN
FPGS	MT-ND4L
FTSJ1	MT-ND4L
FUBP1	MT-ATP8
FYCO1	MT-ND5
GAB3	MT-CYB
GALK1	MT-ATP8
GATAD2A	MT-ND1
GBA	MT-ND4L
GCSH	MT-ATP8
GEMIN6	MT-ND1
GIGYF1	MT-ND3
GIGYF1	MT-ND5
GK	MT-ATP8
GK	MT-ATP6
GLS	MT-ND4L
GMPPB	MT-ATP8
GNAS	MT-ATP6
GNAS	MT-ND4
GNL3	MT-ATP6
GNL3L	MT-ND4
GOLGA3	MT-ND3
GOLGA3	MT-ND5
GOLGA4	MT-ND4
GOLGB1	MT-ND4
GPATCH4	MT-ATP6
GPR132	MT-ND3
GPR137	MT-CYB
GRIPAP1	MT-ND3
GRIPAP1	MT-ND5
GSTO1	MT-ND4L
GTF2A2	MT-ND3
GTF2E2	MT-ND3
GUF1	MT-ND3
H2AFV	MT-ND4L
H2AFZ	MT-ND4L
HMGB2	MT-ATP6
HNRNPF	MT-CO3
HNRNPM	MT-ND4L
HNRNPR	MT-ATP6
HNRNPU	MT-ND5
HP1BP3	MT-ATP6
HP1BP3	MT-ND4
HPRT1	MT-ND3
HSP90AB1	MT-ATP6
IFI16	MT-ATP8
IL4R	MT-ND1
ILF3	MT-ND5
INO80E	MT-ND4L
IWS1	MT-ATP6
JOSD2	MT-ATP8
KDELR1	MT-ND4L
KIAA0090	MT-ND4L
